TIME,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80,Sensor_81,Sensor_82,Sensor_83,Sensor_84,Sensor_85,Sensor_86,Sensor_87,Sensor_88,Sensor_89,Sensor_90,Sensor_91,Sensor_92,Sensor_93,Sensor_94,Sensor_95,Sensor_96,Sensor_97,Sensor_98,Sensor_99,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,X,Y,Z,PPG,RSP
1200,46294,6459,58842,49167,8632,33000,51078,64343,19147,24474,21065,6537,17069,13452,29866,20279,38850,32030,9927,25612,18954,13276,31306,15725,60857,64832,31171,40715,33814,9933,38587,64687,4060,12498,5895,28426,53069,7051,26104,5019,937,22991,21104,38267,8436,54959,1013,10218,2653,50877,27026,18128,1283,41932,48752,12297,8861,29407,32805,17177,31136,54883,7290,46443,17706,31068,12981,37232,65447,26517,13423,31616,19422,44411,59846,40647,3019,53028,13843,45518,10110,39974,11906,58524,55823,41530,32611,63824,63634,46054,32564,38995,27986,26454,56147,6181,63468,38654,8904,9500,57483,25072,24351,37953,57003,26483,41250,44144,9975,19361,44059,36951,1529,11709,15249,42478,17642,62508,62774,48483,32206,60101,37806,43795,8181,50570,7741,46546,61,110,62,-0.22816161932595402,0.5054201329556317
1220,19624,5439,54007,9794,42677,28065,65319,53867,42589,44630,61610,23379,52986,18808,64246,53902,42422,65145,58642,39228,33305,19082,25059,919,64148,57066,24747,54176,46687,41373,4645,20659,17671,30043,23262,55937,32060,21970,47319,39277,13631,36046,31841,59241,31925,1538,38527,23781,6263,6955,20236,32216,11288,13804,32106,30217,65104,20878,49365,626,7512,8595,42783,52089,62949,51835,35650,44891,2515,10432,13277,5791,57861,26332,45308,13140,31480,1809,34362,63330,3611,18930,15319,5206,28156,9927,26546,16906,33538,44218,4941,44242,21880,883,18560,6624,64285,42500,46905,8906,25601,10139,45580,27957,5846,6680,64404,47280,26871,10160,20304,33164,18223,25374,30072,4026,20574,58402,10940,37031,51495,25799,3614,31722,21830,65443,60207,7991,85,86,131,-0.21867819498020707,0.5028386461250662
1240,43616,58548,16002,55622,57985,20574,43494,35501,28661,26824,50674,7025,26025,62677,60651,1305,23228,62134,40076,21578,4574,39340,43177,1412,45725,47451,22009,62275,46032,44049,1276,16914,337,40747,48978,15901,44710,15688,46814,28189,18872,7203,5805,52151,11384,24008,36717,55599,19103,24812,27570,655,11180,40069,47657,56571,45807,27797,11840,34848,2709,47410,8969,65514,51178,35484,45263,44450,16968,61600,61410,52719,42159,1764,19856,48317,36063,16868,4105,25925,25841,47447,61777,23705,526,64650,24169,10857,48976,41080,39569,21545,39720,21590,38904,34032,56187,52319,48911,65190,4602,38148,35916,61742,63947,43903,25623,45828,55503,9061,17662,21564,32053,61578,12281,58140,40701,27188,45555,32610,62420,35794,58347,21204,9798,6022,26016,38006,166,116,108,-0.11884574569055203,0.49923887639343756
1260,47004,40287,19440,9188,30901,54662,17157,48776,28095,38735,40252,43422,37133,4415,22163,47583,22250,2200,42783,57570,20727,37835,33934,30503,6267,107,1626,39494,45880,20911,58715,46095,9686,48626,28454,49427,37726,32478,60763,21748,31658,41200,36194,51137,42298,20425,10519,41013,40650,22412,25107,15163,47036,53533,453,20358,21270,41305,27606,48066,38338,57421,46500,56191,60998,11590,60227,4843,44929,11797,46623,16724,64922,39868,13924,54112,10389,35115,58801,61035,36140,58690,48036,12108,11358,30299,28755,37251,65303,31940,10940,36210,21603,40901,63119,61227,60440,61842,43058,34479,55029,42795,32201,47631,12309,30925,65408,41286,17472,28423,12715,24393,19590,64739,46070,27328,29824,52007,45015,16779,34452,29557,17464,27887,10329,59582,29071,38135,113,235,216,0.2056509777558711,0.4947216657753365
1280,13617,19469,44563,2035,39298,49275,14251,11300,45416,16993,36681,19050,12792,52962,47928,63159,40992,18586,43205,46280,22705,17201,44633,1647,10035,4632,2784,38652,2890,12593,28877,28659,56060,6576,40885,35040,21522,64446,40927,2124,1825,21228,50168,39522,5348,13309,50697,2513,4710,7162,60020,9965,245,7686,58857,61789,31722,12746,23599,54287,55666,64607,60631,52791,31416,57834,31362,23063,28574,61785,51273,24416,42495,27263,3952,53069,37037,31702,64208,5409,11263,28634,20448,27750,2707,31816,51959,59122,32366,61212,19395,11514,31179,42328,47178,17629,16292,19244,3955,9817,61088,60768,58668,32447,10679,60439,54832,63796,44631,23402,7577,47598,980,22918,11047,304,38949,6571,16338,20009,54866,55353,19477,13629,23267,65281,18253,40189,194,200,68,0.8959107685763807,0.4893347240510251
1300,16527,9171,38115,17779,36960,32175,15834,51026,57271,62424,33391,51015,30216,28126,36031,12701,51951,48745,58758,53425,52516,4989,37598,34857,36006,15471,48086,48883,52674,50857,57326,43457,48568,24900,34544,9194,5665,63171,42186,44860,46448,13379,21021,31323,39447,9381,20333,12263,2462,43814,7616,1236,34638,33555,6738,1727,29095,12149,11524,37713,55693,54107,1175,30822,12885,23427,49410,36582,15554,21610,39576,42393,58520,47260,17776,3436,45069,10121,18441,43034,46993,65431,6214,51822,44998,59360,15380,62436,46349,42244,28362,64101,17471,58427,37816,22105,57061,57793,8004,15305,48026,55862,40807,64676,47240,57554,4564,22840,58836,30679,30642,12399,19736,21789,29799,48518,63363,6037,150,22426,22318,48540,31756,11590,26880,53189,28147,12660,107,221,181,2.096434723793718,0.4832687812000651
1320,11864,9124,25236,14233,58736,11075,19853,10071,61372,22257,28624,27412,44212,59746,40090,65186,21814,18043,62821,5600,12789,4006,13736,7551,22922,42904,62519,11272,8120,53288,55953,13279,30853,44579,58402,50743,65520,29650,37170,58955,674,17194,51724,47807,36024,53018,16768,7210,2427,35001,34579,31912,25755,42723,28772,55202,30604,36195,25078,38375,34620,16042,40517,57040,6346,15255,24736,34317,57916,64426,60530,54409,63829,54061,18948,25172,21789,2552,47875,15176,7613,26658,53763,27366,58052,14610,790,51390,59842,61521,2657,36666,23576,21130,6776,33309,31163,8710,37707,6407,47402,15532,33662,2033,3131,51635,44186,52922,65391,26183,55188,4693,42663,43793,21159,1627,5133,36492,11299,40764,61310,18041,28912,45578,33357,35547,36321,31728,49,150,237,3.7527868862432467,0.476658069864382
1340,37710,44984,22286,46560,11922,55389,40490,58214,62554,58606,28312,31639,59549,18545,43652,30999,18841,30003,3946,5594,56688,32584,28927,7648,48002,23982,53558,26521,21974,53893,28560,46651,56852,1038,24893,33066,15310,17918,21238,54116,24626,39388,47826,15147,65343,2020,7128,37242,28262,50057,36186,43449,4742,19561,10964,7415,64673,51572,35347,14362,54727,28510,39057,38661,1493,13831,1800,54425,7395,39187,61442,22954,1899,46587,46510,40162,28379,49598,1632,27586,7836,11245,37964,22934,22283,6940,23088,62596,3049,62475,58250,9661,64738,2022,850,63789,51133,29486,3002,39363,55482,53674,54001,7680,30111,12003,10424,39429,17158,60405,37090,3669,39874,5071,39657,59699,49354,2541,4799,61471,24274,11334,5208,65192,40803,64911,8053,26394,166,51,220,5.449790506552074,0.4695605839300946
1360,50979,25977,2768,19683,6752,60925,55415,36038,25945,61420,15641,47142,34913,39048,57546,59246,3718,43444,1719,19536,54426,37840,14679,56588,31651,8301,33243,65489,26053,65395,32481,8377,32543,37651,22124,42428,820,18810,45336,37733,18766,49510,46382,50511,43427,37405,39749,7875,38729,9020,20378,26005,51286,19432,45309,14244,58236,44370,113,61560,31357,14606,55621,33157,23105,44208,21263,59522,11019,62976,28253,5645,43991,44849,63738,12982,38064,37105,41262,5478,32361,18502,27291,57996,36455,58106,40813,20574,55226,18212,40569,38422,15759,62843,38015,61305,21776,53884,38191,65481,57737,50331,51569,2856,45228,10193,61095,56160,45166,38352,4338,42090,55838,18179,45369,35861,51253,17436,64717,40505,58101,46754,61749,42009,39262,24083,543,4266,134,39,52,6.669967276079145,0.4622161868515517
1380,13436,53235,11055,19768,60372,7701,18703,37404,62599,41469,45831,33264,2307,36315,847,28778,6906,5304,39485,34836,27208,421,17575,62846,9789,22621,43370,17692,60067,15815,52498,21059,37679,35958,56583,6103,10416,59061,60914,15119,21264,48593,45012,3347,7205,22729,32174,63085,61441,46990,4890,37421,53919,47668,52645,58983,6190,33956,51449,55438,11040,30168,60996,4718,5814,13698,60001,42858,65389,39624,8473,4070,39476,19411,41511,56764,40001,13681,33722,38531,41175,55932,26357,26216,16131,16897,23057,34977,61857,55300,21401,3074,2256,53074,31210,8451,41345,56272,21763,14528,4383,17063,44014,3020,60604,2786,61142,21832,38230,22090,49897,19577,38834,3087,11521,27262,18513,60197,29693,30723,22236,13133,47856,56571,50835,44579,2456,38197,160,32,99,6.747602233701957,0.45466904492899346
1400,15092,32959,54462,50344,16939,4581,61086,32549,14571,23604,3173,12725,41697,17403,39940,16957,36350,59833,9,43958,43050,15622,61563,50711,36608,28116,32289,30080,54557,25740,46621,15232,42881,62045,45428,38551,2276,48391,27202,40755,30894,55992,12033,57326,22161,46428,48644,32684,28333,29887,30705,63215,58769,9502,17908,50836,5416,39567,29623,48865,47156,19164,14315,25850,19623,46746,60975,21015,47017,45872,47301,48897,20195,43809,45733,24119,54545,16362,56172,59259,15362,25652,47182,36867,35292,60278,61724,37847,11106,46080,38379,17724,1560,63617,12615,34903,50269,61162,8383,25495,60043,28584,17989,34584,60613,10233,9572,45202,28820,3767,43554,54042,37132,12960,36558,49156,43545,13375,38876,41115,56653,29106,14671,47845,61182,58361,54730,24095,110,42,47,5.284335786844545,0.44706107123539574
1420,7622,4466,11260,10266,31580,36764,4216,31685,28078,56475,22920,9313,57098,24477,27059,23145,48504,43094,7512,29801,31627,40434,21294,32406,4255,23863,37339,61818,63763,31784,1647,46983,60885,65110,56181,18212,44387,25487,6979,27754,58244,22377,56340,45597,30906,44492,38464,24920,49466,37889,1720,5560,61976,11699,2833,42327,7803,42630,18677,64443,39135,38097,29740,32564,39936,57498,46212,57194,10217,20649,1203,65378,38922,34940,18162,61564,28584,35721,30468,13537,64322,11447,51167,5698,40286,62809,40245,30584,16025,43500,45440,1838,32899,54127,16395,62173,29636,60704,40375,12892,19966,57825,50143,15108,58494,48123,1639,49758,41367,45187,16759,62744,1686,42159,11589,62099,62801,5989,65111,15576,42685,31689,35471,38060,61555,40964,16648,10557,156,92,244,2.7371357839329793,0.43956405048941144
1440,7184,47250,59692,27717,31765,45963,54734,48009,9232,32310,39392,30432,23000,64445,64552,38059,4844,21325,10187,29761,27476,41771,30490,6591,7230,64167,24887,50768,52093,65033,36305,54269,64798,34924,47070,52062,61100,13907,33389,11191,2519,34384,36171,59755,10624,30587,63870,65512,36281,32823,1254,20416,36836,39487,53303,48481,39348,56474,59929,54812,33833,37307,29502,18303,52163,37467,24602,62415,10437,55476,57989,39494,42739,43495,8692,3395,40632,25065,56155,1070,18684,22133,23488,64592,48431,10779,6439,10605,5330,59286,35839,16063,60732,44762,39926,11038,7081,53621,63672,22293,54818,60113,19281,22254,52326,60223,57156,1005,7662,22846,49116,23956,10904,40475,12271,22065,11775,22278,18661,22032,16103,27213,46642,31624,15211,5644,37459,30460,0,65,197,-0.18621595109285002,0.4322184684812797
1460,61577,51022,43329,42951,11808,27624,31505,4045,55239,9644,54369,63933,64058,17165,4355,52865,18349,59328,16358,63542,29579,10930,62428,23669,51074,38452,23659,54307,23608,34523,38857,25584,48212,56095,22731,63945,20808,48974,13827,51726,62399,43086,24995,23293,35815,44167,9435,38325,35533,4455,23901,35336,22824,61238,42573,52325,52759,16304,64214,52597,50482,48873,64275,13115,47982,60399,20654,25019,16363,30411,52671,60710,22958,5498,34081,37423,16101,49607,39344,41661,6646,5444,63573,18747,32860,56507,49125,57436,35862,10389,8262,18940,19592,47798,7049,4702,47988,57332,14461,19050,25130,49563,9985,37528,48981,11779,13682,10339,7329,10139,46130,60039,19138,52231,9077,10000,8823,7175,42663,44739,1757,49812,20201,32747,60830,5046,19910,41460,68,73,124,-2.4190371100541235,0.42512191793410764
1480,15953,44816,9711,50264,63556,16466,52422,37456,39859,48760,53746,17977,38956,36104,36744,56568,59709,12025,3875,26848,1285,13413,4507,10843,10634,64258,38384,60247,14366,23093,65296,2050,55524,60617,52676,12710,17685,57998,45285,36778,8742,41800,50340,36167,5221,2321,24965,6488,45116,28107,41871,56461,752,10235,8436,26416,33956,52824,47321,16851,20751,99,40545,53517,15383,36533,56061,59817,11864,55430,65343,23308,18399,21702,19259,23414,48252,23771,62947,42655,47917,11236,32002,21924,55396,58915,12180,45005,508,51259,18299,50144,1556,63422,11183,36251,33536,16270,52387,4384,24641,34732,31791,32437,64506,64555,20804,564,24476,12478,306,21695,37544,6377,36768,40601,42221,65365,12144,10019,5440,55322,56133,38139,14988,45187,13588,16743,99,127,105,-3.03235281258834,0.41813117660350857
1500,12354,10885,12797,52596,19217,61524,54363,32060,45975,21332,1564,40671,21806,29020,28400,25486,49340,28835,35025,32488,22419,9688,32517,40169,37880,58790,63070,25226,52468,39770,38882,17537,44495,53042,40451,24363,57848,49535,50684,19466,61963,64082,14604,15513,49763,26315,23510,10958,25544,55408,62218,40210,26805,23857,28484,17511,28972,36987,61003,26397,59990,53012,15782,27477,65393,516,51791,20534,11964,54638,20200,15765,58014,18089,1687,26707,39676,37046,19140,64074,18235,63966,27243,60512,35190,990,60680,62118,61848,36454,2851,27255,41540,47003,19059,35887,29582,8305,42543,50203,27178,10926,44869,8774,40499,32163,27441,60479,58128,45637,50287,21933,11394,16508,1129,55460,12953,491,41395,1458,36869,39943,48394,34600,52715,40319,59521,61744,56,60,144,-2.224729183620217,0.41125898222874563
1520,56447,62018,58155,11434,62382,7794,60298,28190,1467,49645,22304,28599,59885,32116,15573,53405,36175,1516,16920,44380,42270,62071,12974,62695,44903,18987,49366,44003,33705,22571,7825,2713,2191,22290,38389,51326,62820,10784,24293,65524,3058,64370,17469,15857,10177,42694,30508,2166,17738,21757,28552,50165,13405,64638,43101,64541,4496,58945,33047,10236,6578,39996,37897,6178,11489,39539,53107,43641,49796,15013,44940,19952,14285,22514,41425,10522,55686,37876,56117,5674,13884,46935,15208,41457,40255,54231,44263,42929,59588,3722,4125,5656,53418,34321,51906,2499,38268,10875,50915,49057,40633,43212,370,34148,34040,12917,52567,56609,43996,40719,45116,59744,44806,714,36608,29369,15126,33553,25158,15257,48371,3407,25042,43917,7595,56349,26157,56048,97,185,228,-0.5931674907268971,0.4043966423387362
1540,38761,44782,24366,40950,23801,20345,51217,23514,50863,2924,41857,61628,59447,1366,34175,37209,35295,27189,8057,43225,19422,12238,16790,28892,23645,3622,31168,23274,23690,36343,33384,54984,39263,44209,48876,51970,15304,23950,64040,26118,13768,33026,26694,56707,33281,22078,17332,35416,14377,25782,2934,46704,27009,54255,17056,36781,53866,27922,44570,49535,4151,19103,62675,45193,60511,63316,56937,27581,63736,2839,38165,52978,48515,16168,19198,43298,13721,33717,28226,33630,31725,61286,50835,5563,30623,5746,28238,4998,43714,65079,40813,51508,34817,10808,37481,64705,48912,47071,3011,53810,52505,38553,61054,948,44804,5543,48214,22585,4869,50295,19912,37498,10369,28194,62299,61047,2866,57035,23027,49273,34945,59295,17773,6659,57010,61154,50775,43582,52,79,32,0.9658131494719605,0.3974481688272901
1560,19351,12818,32885,9456,23526,53661,41834,24040,26351,51221,37156,25371,29933,7220,46444,46813,53031,8051,7782,57459,21940,51372,36203,52513,16518,4051,16130,15644,19492,1708,15438,31565,37729,12017,55151,10107,50516,39024,54686,24708,29316,19233,20629,53732,1962,11197,55619,39220,3868,38554,26116,15595,34288,21289,60511,2359,21335,30994,60042,17758,37934,22524,9587,8547,8946,13998,25519,8581,38092,15052,55997,15927,47934,36991,11663,31361,18374,62026,11544,58174,30453,34144,15082,58397,30197,58085,58947,42500,28600,54298,2465,18814,36863,15902,25282,30864,60554,59127,54776,63621,51423,6872,55666,54525,5814,36706,28049,64920,26702,29414,12053,54504,19361,22065,59572,3950,35195,37424,35907,52216,60912,62485,43266,57483,38541,30021,37487,873,117,174,11,1.540931573371689,0.39045443658205464
1580,63983,49158,42673,16522,59962,15752,46324,43822,6152,43129,40091,61845,20556,27710,27335,51737,26641,23992,50753,8618,10266,28869,6881,45175,2343,4140,50363,15985,60782,60026,22318,29483,47051,1605,4387,15868,46094,25709,60338,4345,18180,9418,65061,52508,15087,19210,47083,56810,27459,49752,48626,51204,62194,36439,39081,31648,47728,12586,58616,7096,61744,28742,16282,64628,48514,24724,26188,55641,11279,7416,8202,28310,10800,62844,46898,55427,16540,34813,3995,51172,47212,16602,63267,11393,36619,18908,5860,43705,5053,14882,50634,18542,51505,6962,34006,57001,8376,39478,7544,19332,20455,25476,45531,45138,63002,20317,14197,6271,29052,14516,4895,45986,46464,17519,26454,22665,1553,40568,12979,2228,64361,3540,33699,37420,32666,58785,11009,31193,185,223,84,1.1478574984064993,0.3833130076162775
1600,26432,61391,62025,38058,45387,24604,43070,53746,40455,53974,31048,16170,63732,15882,15652,50223,27738,52310,2306,38201,60721,40764,30748,12397,18189,49747,26170,1096,1652,57824,63640,23588,10968,42356,50158,18150,50167,28895,31444,40957,24188,56081,27644,65185,40716,49262,61734,44071,6178,7702,35100,19223,41255,61525,8649,56976,13535,42590,21472,38685,18006,55017,56710,39540,17981,63126,207,34124,64385,48072,31039,5612,33778,65196,21545,32364,16756,41407,20875,47324,62934,27227,673,64190,34616,3808,31153,14161,28264,50477,3477,52317,33159,24289,49372,6519,63523,5826,12301,45677,27538,25954,42451,24579,4592,28817,15868,57194,7615,32025,50761,47488,63098,41024,7327,25738,14193,29194,11554,53155,50737,45765,22402,35569,34284,37146,43850,38620,8,116,43,0.28274878425945343,0.37591840823743494
1620,52406,17305,11660,44880,29358,48867,32156,10046,27209,465,11986,25645,52169,8392,24968,45063,2652,31838,64204,34377,5961,37163,2519,17750,21658,4576,27131,10784,52737,18830,5182,67,38168,33081,60858,38124,20754,55376,3053,37193,225,62580,59851,39314,44625,5991,33431,64427,26428,8457,32814,35927,59204,20552,3109,39126,44978,47444,46241,9349,3566,47763,30660,7554,36775,13794,15170,6629,62817,34828,60972,529,36551,31685,26552,29469,42552,24031,31292,46762,38799,51557,36141,24598,1261,48300,65092,22027,19114,10639,54439,5769,36825,63371,54918,17052,31566,62423,124,27369,1182,16877,61991,48920,63023,22034,44317,3522,29865,45496,44153,44934,58510,53964,29614,8783,22963,19821,52562,36226,1713,37936,47939,54678,39660,46417,48499,33294,236,249,49,-0.534546572249396,0.3682565770441715
1640,47988,24694,19948,13583,48653,60788,14391,6150,36984,45632,44967,44465,269,35298,57494,36188,60094,14579,34612,10614,2265,25546,40142,65434,22565,59145,34411,58498,2995,23883,64006,1966,6777,4585,25693,64643,43335,1251,13297,56498,53915,53827,42037,58173,11030,4429,27870,27419,12143,29916,5696,28316,5203,26605,29354,31694,47886,43204,30087,5276,39242,44556,11533,64553,57802,11605,38995,2343,1284,13606,6002,43138,49578,57674,9615,7956,51698,52681,57286,8265,55988,57610,13673,42860,34533,27774,33395,42787,62910,64000,7197,51898,46056,17952,62434,32221,25226,28360,36612,6676,40391,7278,51903,36218,32586,7727,57359,51064,5548,4688,16202,52736,12677,60737,31891,27335,51279,30031,47043,39932,64006,61981,46659,29407,47785,36705,21015,26067,194,160,138,-0.8007485879434612,0.36024662283332987
1660,11206,46827,14327,11389,33930,57228,30847,5107,23120,46531,22919,11549,30024,47136,57267,52374,2131,9724,27662,15017,22272,5197,32229,7359,33163,10399,55556,41378,5276,9808,1783,16230,3651,34962,62454,25500,57874,64551,9840,25981,8647,51713,19334,52401,44222,49292,60447,57183,30888,60262,43728,21310,32154,41019,9527,9896,34892,45858,9377,44406,32045,22082,11955,50758,44700,35341,30908,36103,47152,63717,21679,50361,48229,58858,61654,7358,40503,18151,26999,39170,733,36867,47364,2405,20682,43049,48239,22183,65276,938,18574,53911,23562,53808,26410,41388,11626,7779,16504,60813,23956,31204,25825,28648,63542,6215,38137,50234,23432,1172,57793,48255,65198,33832,28180,22525,63778,17790,56396,8413,32345,45009,3733,818,59316,42972,55125,37294,169,140,176,-0.5039233214161609,0.35189964095208337
1680,56127,52658,34562,7253,25988,19251,64522,63006,47017,40412,27915,51689,45285,28854,32871,63835,32097,15316,36745,21415,22457,33489,45686,23150,15073,57798,5883,49413,54301,44716,57347,26311,59797,31444,607,7666,45927,18647,20852,19144,62520,45467,32136,41668,12478,59233,829,14018,30823,35528,39937,3169,58067,51425,52841,65388,49003,39085,28735,47482,35918,24797,59162,42954,58835,11073,1444,47654,28707,30556,5594,44226,27511,61233,19556,4300,23643,60019,57921,54891,19498,45328,9858,22492,38032,63769,6334,51780,16384,31566,64516,44499,29136,29163,63487,56824,12091,16861,976,9822,38939,49864,20156,40264,43345,46978,17849,23678,62831,57957,5483,27812,60340,39877,65385,54995,21695,47678,38989,45130,29112,42879,15909,32815,59485,2650,30135,56776,90,190,173,-0.03327127009444245,0.3431350266546262
1700,61817,8629,15563,26402,50034,26076,56595,61037,8681,31474,5790,55821,2351,45183,20065,28987,7291,48485,52209,9977,29958,37823,6438,4125,30048,63122,38506,57381,6419,55819,4702,62389,13360,46940,65010,166,58266,53145,25043,40426,10542,60890,6502,32893,52352,1385,26433,29258,64726,37776,7791,34382,42129,33633,37910,5567,45056,2250,31429,48567,45267,44075,29930,29347,4375,26752,57448,44903,28508,57054,50776,4601,22140,7073,57033,53915,40693,49175,53432,31421,565,18906,44083,36523,38503,46497,11565,42842,29885,59488,8931,51503,15642,31236,19218,24108,36326,24106,65497,32947,15003,8038,10538,65498,59381,56129,47481,53191,43701,31767,59544,126,38908,22028,46624,21194,20727,61238,53308,52551,17995,50048,20274,6628,11539,41189,9648,62793,90,17,108,0.3340886208467527,0.333930229602158
1720,4128,47503,12492,8005,62496,8096,32100,21239,48920,64319,52172,4755,2138,13675,46055,61178,5929,9849,11381,18973,40752,16641,35081,44259,30431,49799,64976,1716,30558,44537,52580,27692,38575,32683,44009,27222,1742,46953,61201,33466,28011,41701,26972,45113,41471,33108,26930,35873,24320,61900,60559,12024,22729,61418,16552,8869,21129,55396,38671,28128,29438,11078,57462,55531,33721,36298,49259,6387,47157,5323,7410,15241,33768,24278,51886,11577,47774,34462,48566,26214,61037,8677,3216,30098,44039,52028,47653,48417,24137,28821,61825,45029,34546,40660,55242,39908,62361,58513,45343,33215,41482,33685,17077,43098,59988,39584,35599,47115,12333,40575,27462,34907,45847,6518,25533,32876,57407,12913,17912,21529,24403,44928,59959,29444,39118,50332,17011,16337,29,41,129,0.4538781718156929,0.3243072281823534
1740,56690,4000,2318,34095,57987,37378,21284,15300,28800,11594,52591,458,13659,47787,58847,34767,53370,9671,47796,32474,12381,26057,18464,56298,44239,188,61970,5527,4422,15839,18781,23138,8300,2073,16206,60875,38804,46415,35821,60427,63572,5668,33378,56016,21660,39104,38224,39289,55077,10192,62942,27605,53494,24822,10413,53310,34431,57891,53887,5354,25276,59836,3335,63584,24346,25396,39366,61054,63085,57374,36067,18506,9781,1329,57786,18449,18699,59029,56542,38475,53931,41224,43144,24729,38111,38641,2988,61246,9498,16362,64336,50081,59165,53981,41822,4099,47819,50550,25919,50985,40842,1485,9268,38280,57912,8660,19897,20612,43207,5176,12862,30898,27311,181,58175,341,32127,13185,26194,967,62472,61717,45817,46552,47013,16946,45226,20359,182,44,134,0.33507933218612207,0.3141937630339448
1760,44571,26172,39916,38066,50525,59582,64002,31627,15289,3253,27218,29387,44731,36477,55401,50327,48610,40109,5477,3997,45850,45259,43274,27761,42798,23542,2063,25078,5478,42769,46674,12799,30778,57339,43918,28703,7636,13007,47607,23998,43950,30678,61676,10424,16057,15156,49540,59032,46021,13131,18656,56651,33285,54918,23226,588,38855,19239,1064,59054,57307,61458,56993,57594,37639,4502,51301,42033,21616,26873,50179,25034,16383,3605,20358,60764,47074,19678,61116,710,1368,4639,46914,33850,15319,41831,60583,50104,32152,431,39040,57157,43371,44181,45341,48747,7271,18384,62498,13748,12696,13343,18115,20719,57511,6196,1445,57034,254,31362,5866,2942,2103,33088,65429,14324,28754,15752,43325,5609,63951,4749,39301,18142,24675,56131,64942,25161,112,136,53,0.17805836610076903,0.30358373975922515
1780,52051,7223,759,6456,54771,1616,50286,18313,15526,32661,24542,16489,12569,17346,43582,14581,59659,6809,60400,38932,16659,54990,57709,3258,5571,30429,56580,44020,10171,44472,53887,45928,54510,26554,33140,17123,49671,22200,63327,33626,28612,17155,56472,2824,21883,29086,1535,3767,62142,9845,40923,31126,33339,60396,25901,396,21485,11044,11580,59593,51951,28528,17392,59477,45510,14667,4683,49357,5399,10211,63736,61407,59653,27327,547,50466,46354,7866,29909,56302,9882,47826,62850,14474,51946,63576,62329,27146,57443,32826,1238,24794,55974,36614,7493,63186,30202,17612,4604,55864,49060,1377,52959,40287,23025,44013,32188,9591,35538,9817,10312,59547,56147,22020,30181,62697,6521,60711,17017,48441,21506,19308,44029,41248,52582,11424,60441,5413,117,178,67,0.11228705491684884,0.29250522412664864
1800,32671,55607,43102,6706,62451,15617,32195,5604,28039,32826,6496,26750,52056,51532,11660,35732,48825,1022,58220,8805,59317,37250,12260,48781,7457,34751,38356,36882,3266,45054,64901,40965,56922,29823,31383,53831,41933,26658,58492,22066,25776,56890,2481,46547,45136,60457,6233,13765,26680,30381,25807,47977,46133,43671,11272,9877,10445,50105,25493,18159,17594,45438,26234,57165,42033,1851,30340,62336,27260,57288,5961,8678,8406,11156,59055,23432,62519,27414,63965,57468,59812,47643,37133,44947,61831,56386,17437,24912,26733,32871,22806,56337,34247,59937,64020,17138,11171,29784,22276,32915,25126,7224,48247,7291,24645,40074,55620,54307,27107,64730,46159,43308,38048,59232,47635,30017,31750,25823,61690,11233,43604,6036,20354,7449,39099,37307,38979,58702,32,33,247,0.12859182858081558,0.2808584760886608
